haversine_km,euclidean_km,absolute_difference_km,percent_error
95.67403470609166,95.67313571664957,0.0008989894420921019,0.0009396378493431116
96.07434444807949,96.07343412699251,0.0009103210869767508,0.000947517354613548
96.47465419006731,96.47373244251098,0.00092174755633323,0.0009554297593202773
96.87496393205515,96.87403066280991,0.0009332692452375113,0.0009633750634395848
97.27527367404298,97.27432878749416,0.0009448865488224101,0.000971353267006582
97.6755834160308,97.67462681616865,0.0009565998621496874,0.000979364369983059
98.07589315801864,98.0749247484383,0.0009684095803379478,0.0009874083723893888
98.47620290000647,98.475222583908,0.0009803160984631631,0.0009954852742023207
98.8765126419943,98.87552032218268,0.0009923198116155163,0.0010035950754133532
99.27682238398214,99.27581796286721,0.0010044211149278226,0.0010117377760570643
99.67713212596996,99.67611550556653,0.0010166204034334214,0.0010199133760676793
100.0774418679578,100.07641294988552,0.001028918072279339,0.0010281218754940734
100.47775160994563,100.4767102954291,0.0010413145165273363,0.0010363632742994853
100.87806135193345,100.87700754180217,0.0010538101312818071,0.0010446375724899968
101.27837109392131,101.27730468860968,0.0010664053116329342,0.001052944770057562
101.67868083590913,101.67760173545645,0.0010791004526851111,0.00106128486700824
102.07899057789696,102.07789868194746,0.001091895949500099,0.0010696578633062285
102.47930031988479,102.47819552768757,0.0011047921972107133,0.0010780637589856209
102.87961006187261,102.87849227228173,0.001117789590878715,0.0010865025540109138
103.27991980386044,103.27878891533481,0.0011308885256227086,0.001094974248402193
103.68022954584826,103.67908545645174,0.001144089396518666,0.0011034788421381149
104.08053928783612,104.07938189523746,0.0011573925986567701,0.001112016335211317
104.48084902982394,104.47967823129682,0.0011707985271272037,0.001120586727614551
104.88115877181177,104.8799744642347,0.001184307577062782,0.0011291900193813275
105.28146851379961,105.2802705936561,0.0011979201435110554,0.001137826210463658
105.68177825578744,105.68056661916586,0.0012116366215764174,0.0011464953008680707
106.08208799777526,106.0808625403689,0.0012254574063632617,0.0011551972906009937
106.48239773976312,106.48115835687017,0.0012393828929475603,0.0011639321796420674
106.88270748175094,106.88145406827454,0.0012534134764052851,0.0011726999679712378
107.28301722373877,107.28174967418691,0.0012675495518550406,0.001181500655608488
107.6833269657266,107.6820451742122,0.0012817915143870096,0.00119033424254711
108.08363670771442,108.08234056795531,0.0012961397591055857,0.0011992007287936438
108.48394644970224,108.48263585502117,0.00131059468107253,0.0012081001143152339
108.88425619169007,108.88293103501468,0.0013251566753922361,0.0012170323991186622
109.28456593367792,109.28322610754078,0.0013398261371406761,0.0012259975831846036
109.68487567566575,109.6835210722043,0.0013546034614506652,0.0012349956665458409
110.08518541765358,110.08381592861019,0.0013694890433839646,0.001244026649170134
110.4854951596414,110.48411067636339,0.0013844832780165461,0.001253090531038572
110.88580490162924,110.88440531506876,0.0013995865604812252,0.001262187312183781
111.28611464361707,111.28469984433123,0.0014147992858397629,0.0012713169925740687
111.68642438560491,111.68499426375574,0.0014301218491681311,0.0012804795721909218
